data_structure,operation,input_size,data_size,time_nano
binary_search_tree,search,640,640,170
binary_search_tree,delete,640,639,456
q_array,insert,1280,1280,28174
q_array,search,1280,1280,14350
q_array,delete,1280,1279,154
q_list,insert,1280,1280,304
q_list,search,1280,1280,7524
q_list,delete,1280,1279,235
sorted_list,insert,1280,1280,8648
sorted_list,search,1280,1280,7646
sorted_list,delete,1280,1279,7845
binary_search_tree,insert,1280,1280,572
binary_search_tree,search,1280,1280,231
binary_search_tree,delete,1280,1279,1037
q_array,insert,2560,2560,32013
q_array,search,2560,2560,21544
q_array,delete,2560,2559,92
q_list,insert,2560,2560,179
q_list,search,2560,2560,11807
q_list,delete,2560,2559,233
sorted_list,insert,2560,2560,11209
sorted_list,search,2560,2560,11710
sorted_list,delete,2560,2559,12043
binary_search_tree,insert,2560,2560,469
binary_search_tree,search,2560,2560,188
binary_search_tree,delete,2560,2559,522
q_array,insert,5120,5120,56668
q_array,search,5120,5120,43058
q_array,delete,5120,5119,91
q_list,insert,5120,5120,214
q_list,search,5120,5120,16308
q_list,delete,5120,5119,240
sorted_list,insert,5120,5120,20165
sorted_list,search,5120,5120,17697
sorted_list,delete,5120,5119,18638
binary_search_tree,insert,5120,5120,524
binary_search_tree,search,5120,5120,209
binary_search_tree,delete,5120,5119,547
q_array,insert,10240,10240,92041
q_array,search,10240,10240,80195
q_array,delete,10240,10239,86
q_list,insert,10240,10240,199
q_list,search,10240,10240,27294
q_list,delete,10240,10239,268
sorted_list,insert,10240,10240,41421
sorted_list,search,10240,10240,34784
sorted_list,delete,10240,10239,35467
binary_search_tree,insert,10240,10240,577
binary_search_tree,search,10240,10240,192
binary_search_tree,delete,10240,10239,560
q_array,insert,10,10,337
q_array,search,10,10,229
q_array,delete,10,9,110
q_list,insert,10,10,189
q_list,search,10,10,153
q_list,delete,10,9,277
sorted_list,insert,10,10,258
sorted_list,search,10,10,124
sorted_list,delete,10,9,226
binary_search_tree,insert,10,10,433
binary_search_tree,search,10,10,225
binary_search_tree,delete,10,9,502
q_array,insert,20,20,433
q_array,search,20,20,304
q_array,delete,20,19,82
q_list,insert,20,20,132
q_list,search,20,20,128
q_list,delete,20,19,97
sorted_list,insert,20,20,251
sorted_list,search,20,20,152
sorted_list,delete,20,19,210
binary_search_tree,insert,20,20,402
binary_search_tree,search,20,20,167
binary_search_tree,delete,20,19,451
q_array,insert,40,40,577
q_array,search,40,40,537
q_array,delete,40,39,82
q_list,insert,40,40,123
q_list,search,40,40,195
q_list,delete,40,39,123
sorted_list,insert,40,40,324
sorted_list,search,40,40,222
sorted_list,delete,40,39,283
binary_search_tree,insert,40,40,349
binary_search_tree,search,40,40,149
binary_search_tree,delete,40,39,438
q_array,insert,80,80,1070
q_array,search,80,80,987
q_array,delete,80,79,81
q_list,insert,80,80,135
q_list,search,80,80,324
q_list,delete,80,79,120
sorted_list,insert,80,80,524
sorted_list,search,80,80,346
sorted_list,delete,80,79,389
binary_search_tree,insert,80,80,351
binary_search_tree,search,80,80,159
binary_search_tree,delete,80,79,430
q_array,insert,160,160,2098
q_array,search,160,160,1915
q_array,delete,160,159,83
q_list,insert,160,160,145
q_list,search,160,160,585
q_list,delete,160,159,121
sorted_list,insert,160,160,992
sorted_list,search,160,160,608
sorted_list,delete,160,159,712
binary_search_tree,insert,160,160,388
binary_search_tree,search,160,160,141
binary_search_tree,delete,160,159,481
q_array,insert,320,320,3579
q_array,search,320,320,3754
q_array,delete,320,319,74
q_list,insert,320,320,129
q_list,search,320,320,1116
q_list,delete,320,319,163
sorted_list,insert,320,320,1302
sorted_list,search,320,320,1139
sorted_list,delete,320,319,1226
binary_search_tree,insert,320,320,385
binary_search_tree,search,320,320,157
binary_search_tree,delete,320,319,450
q_array,insert,640,640,9729
q_array,search,640,640,7446
q_array,delete,640,639,109
q_list,insert,640,640,181
q_list,search,640,640,2829
q_list,delete,640,639,214
sorted_list,insert,640,640,2485
sorted_list,search,640,640,2804
sorted_list,delete,640,639,3038
binary_search_tree,insert,640,640,514
binary_search_tree,search,640,640,193
binary_search_tree,delete,640,639,646
q_array,insert,1280,1280,18348
q_array,search,1280,1280,14034
q_array,delete,1280,1279,136
q_list,insert,1280,1280,212
q_list,search,1280,1280,4250
q_list,delete,1280,1279,137
sorted_list,insert,1280,1280,7742
sorted_list,search,1280,1280,4218
sorted_list,delete,1280,1279,4692
binary_search_tree,insert,1280,1280,563
binary_search_tree,search,1280,1280,224
binary_search_tree,delete,1280,1279,761
q_array,insert,2560,2560,34486
q_array,search,2560,2560,21575
q_array,delete,2560,2559,98
q_list,insert,2560,2560,192
q_list,search,2560,2560,11305
q_list,delete,2560,2559,240
sorted_list,insert,2560,2560,12045
sorted_list,search,2560,2560,12113
sorted_list,delete,2560,2559,12584
binary_search_tree,insert,2560,2560,487
binary_search_tree,search,2560,2560,248
binary_search_tree,delete,2560,2559,623
q_array,insert,5120,5120,57671
q_array,search,5120,5120,43085
q_array,delete,5120,5119,82
q_list,insert,5120,5120,216
q_list,search,5120,5120,17326
q_list,delete,5120,5119,186
sorted_list,insert,5120,5120,20961
sorted_list,search,5120,5120,18644
sorted_list,delete,5120,5119,19411
binary_search_tree,insert,5120,5120,537
binary_search_tree,search,5120,5120,361
binary_search_tree,delete,5120,5119,569
q_array,insert,10240,10240,92653
q_array,search,10240,10240,80470
q_array,delete,10240,10239,82
q_list,insert,10240,10240,181
q_list,search,10240,10240,47697
q_list,delete,10240,10239,248
sorted_list,insert,10240,10240,47440
sorted_list,search,10240,10240,57842
sorted_list,delete,10240,10239,57886
binary_search_tree,insert,10240,10240,520
binary_search_tree,search,10240,10240,212
binary_search_tree,delete,10240,10239,668
q_array,insert,10,10,370
q_array,search,10,10,205
q_array,delete,10,9,104
q_list,insert,10,10,191
q_list,search,10,10,142
q_list,delete,10,9,377
sorted_list,insert,10,10,277
sorted_list,search,10,10,200
sorted_list,delete,10,9,230
binary_search_tree,insert,10,10,409
binary_search_tree,search,10,10,249
binary_search_tree,delete,10,9,562
q_array,insert,20,20,428
q_array,search,20,20,313
q_array,delete,20,19,91
q_list,insert,20,20,143
q_list,search,20,20,159
q_list,delete,20,19,146
sorted_list,insert,20,20,249
sorted_list,search,20,20,156
sorted_list,delete,20,19,243
binary_search_tree,insert,20,20,466
binary_search_tree,search,20,20,147
binary_search_tree,delete,20,19,562
q_array,insert,40,40,609
q_array,search,40,40,558
q_array,delete,40,39,84
q_list,insert,40,40,125
q_list,search,40,40,202
q_list,delete,40,39,103
sorted_list,insert,40,40,289
sorted_list,search,40,40,222
sorted_list,delete,40,39,297
binary_search_tree,insert,40,40,421
binary_search_tree,search,40,40,143
binary_search_tree,delete,40,39,464
q_array,insert,80,80,1071
q_array,search,80,80,1023
q_array,delete,80,79,87
q_list,insert,80,80,126
q_list,search,80,80,338
q_list,delete,80,79,105
sorted_list,insert,80,80,479
sorted_list,search,80,80,353
sorted_list,delete,80,79,449
binary_search_tree,insert,80,80,406
binary_search_tree,search,80,80,143
binary_search_tree,delete,80,79,458
q_array,insert,160,160,2030
q_array,search,160,160,1978
q_array,delete,160,159,70
q_list,insert,160,160,128
q_list,search,160,160,611
q_list,delete,160,159,101
sorted_list,insert,160,160,715
sorted_list,search,160,160,625
sorted_list,delete,160,159,757
binary_search_tree,insert,160,160,397
binary_search_tree,search,160,160,160
binary_search_tree,delete,160,159,502
q_array,insert,320,320,3604
q_array,search,320,320,3751
q_array,delete,320,319,83
q_list,insert,320,320,140
q_list,search,320,320,1126
q_list,delete,320,319,102
sorted_list,insert,320,320,1290
sorted_list,search,320,320,1128
sorted_list,delete,320,319,1268
binary_search_tree,insert,320,320,464
binary_search_tree,search,320,320,153
binary_search_tree,delete,320,319,519
q_array,insert,640,640,7007
q_array,search,640,640,7431
q_array,delete,640,639,81
q_list,insert,640,640,138
q_list,search,640,640,2196
q_list,delete,640,639,116
sorted_list,insert,640,640,2339
sorted_list,search,640,640,2245
sorted_list,delete,640,639,2513
binary_search_tree,insert,640,640,457
binary_search_tree,search,640,640,164
binary_search_tree,delete,640,639,512
q_array,insert,1280,1280,29029
q_array,search,1280,1280,13932
q_array,delete,1280,1279,158
q_list,insert,1280,1280,172
q_list,search,1280,1280,5340
q_list,delete,1280,1279,249
sorted_list,insert,1280,1280,6703
sorted_list,search,1280,1280,5037
sorted_list,delete,1280,1279,5386
binary_search_tree,insert,1280,1280,700
binary_search_tree,search,1280,1280,217
binary_search_tree,delete,1280,1279,821
q_array,insert,2560,2560,30986
q_array,search,2560,2560,21107
q_array,delete,2560,2559,88
q_list,insert,2560,2560,145
q_list,search,2560,2560,7396
q_list,delete,2560,2559,214
sorted_list,insert,2560,2560,9552
sorted_list,search,2560,2560,7213
sorted_list,delete,2560,2559,7818
binary_search_tree,insert,2560,2560,484
binary_search_tree,search,2560,2560,197
binary_search_tree,delete,2560,2559,555
q_array,insert,5120,5120,57591
q_array,search,5120,5120,43073
q_array,delete,5120,5119,91
q_list,insert,5120,5120,234
q_list,search,5120,5120,21298
q_list,delete,5120,5119,237
sorted_list,insert,5120,5120,25496
sorted_list,search,5120,5120,26786
sorted_list,delete,5120,5119,26767
binary_search_tree,insert,5120,5120,623
binary_search_tree,search,5120,5120,197
binary_search_tree,delete,5120,5119,597
q_array,insert,10240,10240,89071
q_array,search,10240,10240,78679
q_array,delete,10240,10239,84
q_list,insert,10240,10240,142
q_list,search,10240,10240,33836
q_list,delete,10240,10239,250
sorted_list,insert,10240,10240,52534
sorted_list,search,10240,10240,50517
sorted_list,delete,10240,10239,50282
binary_search_tree,insert,10240,10240,558
binary_search_tree,search,10240,10240,196
binary_search_tree,delete,10240,10239,578
q_array,insert,10,10,388
q_array,search,10,10,229
q_array,delete,10,9,107
q_list,insert,10,10,217
q_list,search,10,10,134
q_list,delete,10,9,321
sorted_list,insert,10,10,285
sorted_list,search,10,10,213
sorted_list,delete,10,9,204
binary_search_tree,insert,10,10,465
binary_search_tree,search,10,10,165
binary_search_tree,delete,10,9,507
q_array,insert,20,20,431
q_array,search,20,20,307
q_array,delete,20,19,83
q_list,insert,20,20,154
q_list,search,20,20,147
q_list,delete,20,19,100
sorted_list,insert,20,20,297
sorted_list,search,20,20,156
sorted_list,delete,20,19,260
binary_search_tree,insert,20,20,457
binary_search_tree,search,20,20,136
binary_search_tree,delete,20,19,493
q_array,insert,40,40,643
q_array,search,40,40,553
q_array,delete,40,39,83
q_list,insert,40,40,129
q_list,search,40,40,209
q_list,delete,40,39,104
sorted_list,insert,40,40,317
sorted_list,search,40,40,205
sorted_list,delete,40,39,277
binary_search_tree,insert,40,40,365
binary_search_tree,search,40,40,141
binary_search_tree,delete,40,39,411
q_array,insert,80,80,1038
q_array,search,80,80,1025
q_array,delete,80,79,82
q_list,insert,80,80,126
q_list,search,80,80,345
q_list,delete,80,79,95
sorted_list,insert,80,80,450
sorted_list,search,80,80,349
sorted_list,delete,80,79,420
binary_search_tree,insert,80,80,327
binary_search_tree,search,80,80,132
binary_search_tree,delete,80,79,434
q_array,insert,160,160,1999
q_array,search,160,160,1962
q_array,delete,160,159,82
q_list,insert,160,160,133
q_list,search,160,160,612
q_list,delete,160,159,126
sorted_list,insert,160,160,815
sorted_list,search,160,160,645
sorted_list,delete,160,159,743
binary_search_tree,insert,160,160,363
binary_search_tree,search,160,160,156
binary_search_tree,delete,160,159,413
q_array,insert,320,320,3718
q_array,search,320,320,3876
q_array,delete,320,319,84
q_list,insert,320,320,133
q_list,search,320,320,1181
q_list,delete,320,319,174
sorted_list,insert,320,320,1347
sorted_list,search,320,320,1165
sorted_list,delete,320,319,1346
binary_search_tree,insert,320,320,419
binary_search_tree,search,320,320,159
binary_search_tree,delete,320,319,504
q_array,insert,640,640,7304
q_array,search,640,640,7457
q_array,delete,640,639,129
q_list,insert,640,640,127
q_list,search,640,640,2183
q_list,delete,640,639,198
sorted_list,insert,640,640,4740
sorted_list,search,640,640,2268
sorted_list,delete,640,639,2594
binary_search_tree,insert,640,640,472
binary_search_tree,search,640,640,562
binary_search_tree,delete,640,639,794
q_array,insert,1280,1280,17882
q_array,search,1280,1280,14815
q_array,delete,1280,1279,147
q_list,insert,1280,1280,149
q_list,search,1280,1280,4399
q_list,delete,1280,1279,225
sorted_list,insert,1280,1280,7791
sorted_list,search,1280,1280,4541
sorted_list,delete,1280,1279,4978
binary_search_tree,insert,1280,1280,422
binary_search_tree,search,1280,1280,227
binary_search_tree,delete,1280,1279,661
q_array,insert,2560,2560,29432
q_array,search,2560,2560,21560
q_array,delete,2560,2559,89
q_list,insert,2560,2560,172
q_list,search,2560,2560,8891
q_list,delete,2560,2559,432
sorted_list,insert,2560,2560,10711
sorted_list,search,2560,2560,8888
sorted_list,delete,2560,2559,9438
binary_search_tree,insert,2560,2560,437
binary_search_tree,search,2560,2560,194
binary_search_tree,delete,2560,2559,580
q_array,insert,5120,5120,55610
q_array,search,5120,5120,45083
q_array,delete,5120,5119,90
q_list,insert,5120,5120,198
q_list,search,5120,5120,18245
q_list,delete,5120,5119,213
sorted_list,insert,5120,5120,18719
sorted_list,search,5120,5120,19655
sorted_list,delete,5120,5119,20882
binary_search_tree,insert,5120,5120,480
binary_search_tree,search,5120,5120,229
binary_search_tree,delete,5120,5119,594
q_array,insert,10240,10240,98267
q_array,search,10240,10240,86079
q_array,delete,10240,10239,88
q_list,insert,10240,10240,164
q_list,search,10240,10240,36960
q_list,delete,10240,10239,269
sorted_list,insert,10240,10240,40295
sorted_list,search,10240,10240,43443
sorted_list,delete,10240,10239,45282
binary_search_tree,insert,10240,10240,605
binary_search_tree,search,10240,10240,210
binary_search_tree,delete,10240,10239,804
