data_structure,operation,input_size,data_size,time_nano
binary_search_tree,delete,640,400,490
q_array,insert,1280,810,125
q_array,search,1280,810,9399
q_array,delete,1280,809,156
q_list,insert,1280,810,214
q_list,search,1280,810,3570
q_list,delete,1280,809,253
sorted_list,insert,1280,810,4062
sorted_list,search,1280,810,4574
sorted_list,delete,1280,810,4626
binary_search_tree,insert,1280,810,455
binary_search_tree,search,1280,810,263
binary_search_tree,delete,1280,810,689
q_array,insert,2560,1617,103
q_array,search,2560,1617,16545
q_array,delete,2560,1616,86
q_list,insert,2560,1617,218
q_list,search,2560,1617,6203
q_list,delete,2560,1616,211
sorted_list,insert,2560,1617,8507
sorted_list,search,2560,1617,8719
sorted_list,delete,2560,1617,9175
binary_search_tree,insert,2560,1617,512
binary_search_tree,search,2560,1617,250
binary_search_tree,delete,2560,1617,635
q_array,insert,5120,3219,84
q_array,search,5120,3219,27303
q_array,delete,5120,3218,71
q_list,insert,5120,3219,149
q_list,search,5120,3219,10922
q_list,delete,5120,3218,168
sorted_list,insert,5120,3219,14763
sorted_list,search,5120,3219,16890
sorted_list,delete,5120,3219,16907
binary_search_tree,insert,5120,3219,454
binary_search_tree,search,5120,3219,223
binary_search_tree,delete,5120,3219,495
q_array,insert,10240,6437,91
q_array,search,10240,6437,51795
q_array,delete,10240,6436,74
q_list,insert,10240,6437,178
q_list,search,10240,6437,27789
q_list,delete,10240,6436,187
sorted_list,insert,10240,6437,51399
sorted_list,search,10240,6437,57859
sorted_list,delete,10240,6437,56949
binary_search_tree,insert,10240,6437,567
binary_search_tree,search,10240,6437,482
binary_search_tree,delete,10240,6437,523
q_array,insert,10,7,135
q_array,search,10,7,179
q_array,delete,10,6,86
q_list,insert,10,7,172
q_list,search,10,7,105
q_list,delete,10,6,249
sorted_list,insert,10,7,163
sorted_list,search,10,7,189
sorted_list,delete,10,7,196
binary_search_tree,insert,10,7,272
binary_search_tree,search,10,7,191
binary_search_tree,delete,10,7,329
q_array,insert,20,15,82
q_array,search,20,15,227
q_array,delete,20,14,82
q_list,insert,20,15,122
q_list,search,20,15,124
q_list,delete,20,14,142
sorted_list,insert,20,15,186
sorted_list,search,20,15,129
sorted_list,delete,20,15,143
binary_search_tree,insert,20,15,383
binary_search_tree,search,20,15,127
binary_search_tree,delete,20,15,358
q_array,insert,40,28,86
q_array,search,40,28,358
q_array,delete,40,27,74
q_list,insert,40,28,94
q_list,search,40,28,134
q_list,delete,40,27,113
sorted_list,insert,40,28,208
sorted_list,search,40,28,151
sorted_list,delete,40,28,171
binary_search_tree,insert,40,28,251
binary_search_tree,search,40,28,114
binary_search_tree,delete,40,28,264
q_array,insert,80,53,97
q_array,search,80,53,612
q_array,delete,80,52,74
q_list,insert,80,53,130
q_list,search,80,53,217
q_list,delete,80,52,100
sorted_list,insert,80,53,305
sorted_list,search,80,53,227
sorted_list,delete,80,53,265
binary_search_tree,insert,80,53,288
binary_search_tree,search,80,53,124
binary_search_tree,delete,80,53,441
q_array,insert,160,102,69
q_array,search,160,102,1119
q_array,delete,160,101,73
q_list,insert,160,102,95
q_list,search,160,102,348
q_list,delete,160,101,88
sorted_list,insert,160,102,406
sorted_list,search,160,102,379
sorted_list,delete,160,102,433
binary_search_tree,insert,160,102,383
binary_search_tree,search,160,102,126
binary_search_tree,delete,160,102,323
q_array,insert,320,206,70
q_array,search,320,206,2165
q_array,delete,320,205,72
q_list,insert,320,206,119
q_list,search,320,206,669
q_list,delete,320,205,86
sorted_list,insert,320,206,1017
sorted_list,search,320,206,666
sorted_list,delete,320,206,738
binary_search_tree,insert,320,206,336
binary_search_tree,search,320,206,139
binary_search_tree,delete,320,206,318
q_array,insert,640,400,78
q_array,search,640,400,4021
q_array,delete,640,399,80
q_list,insert,640,400,125
q_list,search,640,400,1223
q_list,delete,640,399,85
sorted_list,insert,640,400,1255
sorted_list,search,640,400,1248
sorted_list,delete,640,400,1327
binary_search_tree,insert,640,400,339
binary_search_tree,search,640,400,121
binary_search_tree,delete,640,400,410
q_array,insert,1280,810,79
q_array,search,1280,810,8055
q_array,delete,1280,809,81
q_list,insert,1280,810,119
q_list,search,1280,810,2916
q_list,delete,1280,809,88
sorted_list,insert,1280,810,3281
sorted_list,search,1280,810,3605
sorted_list,delete,1280,810,3701
binary_search_tree,insert,1280,810,441
binary_search_tree,search,1280,810,136
binary_search_tree,delete,1280,810,480
q_array,insert,2560,1617,71
q_array,search,2560,1617,13675
q_array,delete,2560,1616,61
q_list,insert,2560,1617,100
q_list,search,2560,1617,4273
q_list,delete,2560,1616,80
sorted_list,insert,2560,1617,6054
sorted_list,search,2560,1617,6797
sorted_list,delete,2560,1617,7001
binary_search_tree,insert,2560,1617,397
binary_search_tree,search,2560,1617,121
binary_search_tree,delete,2560,1617,440
q_array,insert,5120,3219,54
q_array,search,5120,3219,26541
q_array,delete,5120,3218,57
q_list,insert,5120,3219,124
q_list,search,5120,3219,8238
q_list,delete,5120,3218,102
sorted_list,insert,5120,3219,13293
sorted_list,search,5120,3219,14547
sorted_list,delete,5120,3219,14728
binary_search_tree,insert,5120,3219,475
binary_search_tree,search,5120,3219,126
binary_search_tree,delete,5120,3219,439
q_array,insert,10240,6437,54
q_array,search,10240,6437,50652
q_array,delete,10240,6436,66
q_list,insert,10240,6437,159
q_list,search,10240,6437,18688
q_list,delete,10240,6436,178
sorted_list,insert,10240,6437,48696
sorted_list,search,10240,6437,53973
sorted_list,delete,10240,6437,53449
binary_search_tree,insert,10240,6437,514
binary_search_tree,search,10240,6437,209
binary_search_tree,delete,10240,6437,482
q_array,insert,10,7,136
q_array,search,10,7,193
q_array,delete,10,6,111
q_list,insert,10,7,192
q_list,search,10,7,103
q_list,delete,10,6,348
sorted_list,insert,10,7,179
sorted_list,search,10,7,210
sorted_list,delete,10,7,159
binary_search_tree,insert,10,7,295
binary_search_tree,search,10,7,205
binary_search_tree,delete,10,6,438
q_array,insert,20,15,77
q_array,search,20,15,247
q_array,delete,20,14,89
q_list,insert,20,15,121
q_list,search,20,15,124
q_list,delete,20,14,150
sorted_list,insert,20,15,182
sorted_list,search,20,15,157
sorted_list,delete,20,15,187
binary_search_tree,insert,20,15,348
binary_search_tree,search,20,15,130
binary_search_tree,delete,20,15,385
q_array,insert,40,28,74
q_array,search,40,28,411
q_array,delete,40,27,64
q_list,insert,40,28,123
q_list,search,40,28,159
q_list,delete,40,27,106
sorted_list,insert,40,28,252
sorted_list,search,40,28,183
sorted_list,delete,40,28,195
binary_search_tree,insert,40,28,264
binary_search_tree,search,40,28,137
binary_search_tree,delete,40,28,349
q_array,insert,80,53,79
q_array,search,80,53,672
q_array,delete,80,52,64
q_list,insert,80,53,156
q_list,search,80,53,237
q_list,delete,80,52,93
sorted_list,insert,80,53,277
sorted_list,search,80,53,264
sorted_list,delete,80,53,273
binary_search_tree,insert,80,53,276
binary_search_tree,search,80,53,159
binary_search_tree,delete,80,53,509
q_array,insert,160,102,77
q_array,search,160,102,1274
q_array,delete,160,101,64
q_list,insert,160,102,110
q_list,search,160,102,393
q_list,delete,160,101,95
sorted_list,insert,160,102,484
sorted_list,search,160,102,412
sorted_list,delete,160,102,443
binary_search_tree,insert,160,102,368
binary_search_tree,search,160,102,156
binary_search_tree,delete,160,102,359
q_array,insert,320,206,69
q_array,search,320,206,2376
q_array,delete,320,205,78
q_list,insert,320,206,149
q_list,search,320,206,716
q_list,delete,320,205,96
sorted_list,insert,320,206,1090
sorted_list,search,320,206,733
sorted_list,delete,320,206,796
binary_search_tree,insert,320,206,379
binary_search_tree,search,320,206,146
binary_search_tree,delete,320,206,386
q_array,insert,640,400,75
q_array,search,640,400,4254
q_array,delete,640,399,84
q_list,insert,640,400,125
q_list,search,640,400,1300
q_list,delete,640,399,87
sorted_list,insert,640,400,1351
sorted_list,search,640,400,1344
sorted_list,delete,640,400,1392
binary_search_tree,insert,640,400,372
binary_search_tree,search,640,400,150
binary_search_tree,delete,640,400,459
q_array,insert,1280,810,103
q_array,search,1280,810,8314
q_array,delete,1280,809,172
q_list,insert,1280,810,158
q_list,search,1280,810,2854
q_list,delete,1280,809,260
sorted_list,insert,1280,810,3430
sorted_list,search,1280,810,3817
sorted_list,delete,1280,810,3966
binary_search_tree,insert,1280,810,432
binary_search_tree,search,1280,810,233
binary_search_tree,delete,1280,810,591
q_array,insert,2560,1617,100
q_array,search,2560,1617,16040
q_array,delete,2560,1616,93
q_list,insert,2560,1617,193
q_list,search,2560,1617,5680
q_list,delete,2560,1616,199
sorted_list,insert,2560,1617,7377
sorted_list,search,2560,1617,8294
sorted_list,delete,2560,1617,8518
binary_search_tree,insert,2560,1617,463
binary_search_tree,search,2560,1617,225
binary_search_tree,delete,2560,1617,595
q_array,insert,5120,3219,67
q_array,search,5120,3219,27865
q_array,delete,5120,3218,73
q_list,insert,5120,3219,161
q_list,search,5120,3219,9753
q_list,delete,5120,3218,165
sorted_list,insert,5120,3219,17351
sorted_list,search,5120,3219,19128
sorted_list,delete,5120,3219,19087
binary_search_tree,insert,5120,3219,450
binary_search_tree,search,5120,3219,231
binary_search_tree,delete,5120,3219,514
q_array,insert,10240,6437,83
q_array,search,10240,6437,51835
q_array,delete,10240,6436,66
q_list,insert,10240,6437,170
q_list,search,10240,6437,16893
q_list,delete,10240,6436,113
sorted_list,insert,10240,6437,46550
sorted_list,search,10240,6437,50877
sorted_list,delete,10240,6437,50396
binary_search_tree,insert,10240,6437,536
binary_search_tree,search,10240,6437,158
binary_search_tree,delete,10240,6437,515
q_array,insert,10,7,132
q_array,search,10,7,217
q_array,delete,10,6,107
q_list,insert,10,7,216
q_list,search,10,7,138
q_list,delete,10,6,365
sorted_list,insert,10,7,219
sorted_list,search,10,7,138
sorted_list,delete,10,7,195
binary_search_tree,insert,10,7,329
binary_search_tree,search,10,7,218
binary_search_tree,delete,10,7,394
q_array,insert,20,15,93
q_array,search,20,15,293
q_array,delete,20,14,97
q_list,insert,20,15,167
q_list,search,20,15,142
q_list,delete,20,14,185
sorted_list,insert,20,15,209
sorted_list,search,20,15,155
sorted_list,delete,20,15,169
binary_search_tree,insert,20,15,492
binary_search_tree,search,20,15,158
binary_search_tree,delete,20,15,458
q_array,insert,40,28,79
q_array,search,40,28,432
q_array,delete,40,27,95
q_list,insert,40,28,125
q_list,search,40,28,166
q_list,delete,40,27,119
sorted_list,insert,40,28,249
sorted_list,search,40,28,195
sorted_list,delete,40,28,234
binary_search_tree,insert,40,28,289
binary_search_tree,search,40,28,132
binary_search_tree,delete,40,28,300
q_array,insert,80,53,106
q_array,search,80,53,734
q_array,delete,80,52,83
q_list,insert,80,53,132
q_list,search,80,53,258
q_list,delete,80,52,100
sorted_list,insert,80,53,19553
sorted_list,search,80,53,467
sorted_list,delete,80,53,357
binary_search_tree,insert,80,53,830
binary_search_tree,search,80,53,199
binary_search_tree,delete,80,53,600
q_array,insert,160,102,135
q_array,search,160,102,1357
q_array,delete,160,101,103
q_list,insert,160,102,148
q_list,search,160,102,440
q_list,delete,160,101,141
sorted_list,insert,160,102,550
sorted_list,search,160,102,455
sorted_list,delete,160,102,531
binary_search_tree,insert,160,102,491
binary_search_tree,search,160,102,194
binary_search_tree,delete,160,102,433
q_array,insert,320,206,87
q_array,search,320,206,2544
q_array,delete,320,205,88
q_list,insert,320,206,181
q_list,search,320,206,777
q_list,delete,320,205,121
sorted_list,insert,320,206,1395
sorted_list,search,320,206,796
sorted_list,delete,320,206,883
binary_search_tree,insert,320,206,367
binary_search_tree,search,320,206,147
binary_search_tree,delete,320,206,444
q_array,insert,640,400,83
q_array,search,640,400,4864
q_array,delete,640,399,154
q_list,insert,640,400,157
q_list,search,640,400,1433
q_list,delete,640,399,109
sorted_list,insert,640,400,1506
sorted_list,search,640,400,1471
sorted_list,delete,640,400,1541
binary_search_tree,insert,640,400,470
binary_search_tree,search,640,400,183
binary_search_tree,delete,640,400,527
q_array,insert,1280,810,106
q_array,search,1280,810,9609
q_array,delete,1280,809,144
q_list,insert,1280,810,123
q_list,search,1280,810,3441
q_list,delete,1280,809,165
sorted_list,insert,1280,810,4752
sorted_list,search,1280,810,4619
sorted_list,delete,1280,810,4450
binary_search_tree,insert,1280,810,552
binary_search_tree,search,1280,810,165
binary_search_tree,delete,1280,810,630
q_array,insert,2560,1617,102
q_array,search,2560,1617,16594
q_array,delete,2560,1616,94
q_list,insert,2560,1617,161
q_list,search,2560,1617,8254
q_list,delete,2560,1616,193
sorted_list,insert,2560,1617,7920
sorted_list,search,2560,1617,9465
sorted_list,delete,2560,1617,9470
binary_search_tree,insert,2560,1617,467
binary_search_tree,search,2560,1617,581
binary_search_tree,delete,2560,1617,601
q_array,insert,5120,3219,86
q_array,search,5120,3219,27187
q_array,delete,5120,3218,77
q_list,insert,5120,3219,134
q_list,search,5120,3219,9006
q_list,delete,5120,3218,120
sorted_list,insert,5120,3219,14160
sorted_list,search,5120,3219,15585
sorted_list,delete,5120,3219,15769
binary_search_tree,insert,5120,3219,481
binary_search_tree,search,5120,3219,415
binary_search_tree,delete,5120,3219,496
q_array,insert,10240,6437,136
q_array,search,10240,6437,55703
q_array,delete,10240,6436,68
q_list,insert,10240,6437,753
q_list,search,10240,6437,23259
q_list,delete,10240,6436,431
sorted_list,insert,10240,6437,52542
sorted_list,search,10240,6437,60713
sorted_list,delete,10240,6436,60114
binary_search_tree,insert,10240,6437,699
binary_search_tree,search,10240,6437,586
binary_search_tree,delete,10240,6437,609
